"enseigne","ca","surface_vente","surface_totale","potentiel_Z10","potentiel_Z15","potentiel_Z20","potentiel_Z5","nb_primaire_Z10","nb_primaire_Z15","nb_primaire_Z20","nb_primaire_Z5","nb_secondaire_Z10","nb_secondaire_Z15","nb_secondaire_Z20","nb_secondaire_Z5","nb_gsa_Z10","nb_gsa_Z15","nb_gsa_Z20","nb_gsa_Z5","nb_ophtalmologiste_Z10","nb_ophtalmologiste_Z15","nb_ophtalmologiste_Z20","nb_ophtalmologiste_Z5","nb_pharmacie_Z10","nb_pharmacie_Z15","nb_pharmacie_Z20","nb_pharmacie_Z5","nb_pdv_Z10","nb_pdv_Z15","nb_pdv_Z20","nb_pdv_Z5","nb_conc1_Z10","nb_conc1_Z15","nb_conc1_Z20","nb_conc1_Z5","nb_conc2_Z10","nb_conc2_Z15","nb_conc2_Z20","nb_conc2_Z5","REVENU_TOTAL_Z10","REVENU_TOTAL_Z15","REVENU_TOTAL_Z20","REVENU_TOTAL_Z5","P10_POP_Z10","P10_POP_Z15","P10_POP_Z20","P10_POP_Z5","P10_MEN_Z10","P10_MEN_Z15","P10_MEN_Z20","P10_MEN_Z5","P10_INACT1564_Z10","P10_INACT1564_Z15","P10_INACT1564_Z20","P10_INACT1564_Z5","P10_RETR1564_Z10","P10_RETR1564_Z15","P10_RETR1564_Z20","P10_RETR1564_Z5","P10_ETUD1564_Z10","P10_ETUD1564_Z15","P10_ETUD1564_Z20","P10_ETUD1564_Z5","P10_ACTOCC1564_Z10","P10_ACTOCC1564_Z15","P10_ACTOCC1564_Z20","P10_ACTOCC1564_Z5"
"Big Bazar",1085368,97,390,1431851,4812061,1385860,1993385,7,9,11,0,6,13,42,24,23,22,6,8,26,26,18,10,145,132,23,93,1,1,3,4,1,2,0,1,2,0,1,2,3534161534,3752799307,6604069124,1983581006,231687,171333,78472,165773,6542,38995,36900,14134,24974,42855,115877,3681,14121,14200,24321,7260,38262,19186,124,4500,93546,50710,114368,59122
"Big Bazar",2539505,268,62,5021666,634943,3932301,1670853,17,28,22,14,1,28,5,10,8,51,16,35,3,19,15,8,100,128,128,32,2,2,3,2,1,1,5,1,2,1,2,0,2009585782,1956801574,2964766532,2994949579,196011,168801,544799,187360,53354,131940,131884,38376,23553,45138,87357,20553,11154,7900,16368,6886,52696,24234,29395,3648,147427,169982,11800,81030
"Big Bazar",1551319,265,203,4485898,1881689,4691327,2440710,22,9,5,10,38,53,25,37,21,15,50,46,20,68,37,40,130,101,77,13,3,1,0,4,0,0,0,1,0,2,1,0,2574560766,1848637922,6145572558,252352559,403316,255991,550692,186520,93255,171855,229855,93915,46128,23530,102466,2053,5019,17944,3617,7641,4965,48300,14603,17786,48302,154583,179283,25535
"Big Bazar",1652923,218,259,1480331,3270703,4048559,1798720,6,26,6,5,9,37,21,8,76,55,20,0,62,67,25,60,10,92,112,43,2,3,1,1,1,0,1,2,2,1,1,1,3923202181,3355172176,8035352973,2924914909,313360,46458,82815,137841,199915,4892,61163,99637,41776,42301,51714,666,15062,2366,6598,6768,17497,46835,26361,8208,133747,99316,73588,67107
"Big Bazar",273945,241,326,846510,2819191,1826903,1289639,0,13,27,8,30,41,5,24,87,70,39,6,49,47,40,61,74,123,87,4,3,1,1,4,1,0,0,1,1,0,0,2,492844386,174277478,6168814183,2605586842,29538,447698,48629,57173,112263,185733,119534,7238,23614,69389,76228,35272,11767,11963,8285,7569,20070,38133,26933,353,7152,138995,196448,23146
"Big Bazar",1185560,168,183,3012010,4062225,3387277,34367,3,2,23,0,4,55,7,30,37,26,61,29,50,26,10,67,113,34,43,62,0,5,3,2,0,1,2,2,0,2,0,1,1465710109,4208820177,5757585431,3374362395,241418,160266,80186,37981,90403,92339,124329,57458,9722,27046,29167,20880,16498,9297,18045,3386,2777,28327,46067,18490,111076,121293,87649,25449
"Big Bazar",452008,232,258,2998503,4829965,2114047,2180196,17,25,11,6,5,53,30,25,23,81,49,36,66,69,2,49,113,157,4,77,4,2,5,4,3,1,3,1,0,2,2,0,5681481108,5161101472,7566009411,2251683005,384663,367848,147583,16906,86281,150835,236104,105413,54972,90778,118047,18969,1713,3181,7846,3577,3343,1804,23796,21853,49020,110235,112582,71179
"Big Bazar",1572910,46,76,2623715,3296437,3750876,1809535,20,5,0,5,26,40,26,7,60,39,16,64,41,11,23,24,25,96,55,1,5,2,1,4,2,1,2,0,0,1,1,2,3584517985,2555939666,4180786122,1394831131,321626,263613,389625,47547,56318,116522,2595,42040,57433,24042,112221,24222,18040,1875,13651,7480,9198,29505,16680,8335,147899,114264,128680,40484
"Big Bazar",1117908,60,66,183637,4206153,1363144,201823,8,22,7,18,8,25,40,21,8,16,69,4,55,5,27,59,148,76,33,84,2,3,4,3,2,3,1,2,0,2,2,0,4518741762,4289225274,437561446,234990403,296070,26414,530948,132978,77977,151745,40589,91160,36364,64304,63255,42498,8760,22510,24515,7576,51062,17586,17158,27544,126399,5378,121673,3391
"Big Bazar",2463311,137,183,2553292,2424938,4851607,2314534,16,23,30,15,9,11,22,10,88,54,10,64,71,19,58,60,28,108,57,16,1,1,5,2,1,2,0,0,0,2,1,2,1209906767,3211276830,6948015080,3032963371,436858,41558,415021,200698,81711,160951,142766,34698,85388,2262,92739,34200,7217,17934,21469,815,36352,10257,15765,19157,12845,29770,117256,51117
"Big Bazar",533250,72,88,4097118,4684136,2172862,1014929,16,13,22,6,12,21,43,32,86,10,16,60,10,45,35,6,74,125,72,28,1,3,3,4,0,5,4,1,1,2,1,1,3097715209,1168020707,1980293528,3227743745,54245,479686,236332,195112,44665,148507,157807,18406,19896,35614,94522,22876,6706,11204,1042,8416,6539,15031,33946,20862,10725,93592,62854,80819
"Big Bazar",2190190,49,154,1219113,4651461,3569960,504464,10,12,2,4,33,30,5,20,70,46,41,6,17,69,23,62,39,14,133,17,3,1,4,1,3,3,2,1,2,2,0,1,4982035712,3986290812,1118457173,1678635738,43622,177574,213084,61798,200012,31851,219511,11305,27349,91830,78968,29424,17109,14119,4926,1591,20983,32227,59672,2330,149552,113461,114335,70473
"Big Bazar",814517,28,452,4508851,1902096,2764978,188365,0,28,19,9,6,13,21,13,17,76,47,48,0,18,26,10,56,63,112,57,1,5,0,4,3,3,3,2,0,0,1,1,6692804908,2757729333,8100329254,3601669064,283246,287352,377892,39487,2538,197160,144035,91927,70544,86920,56031,16965,14449,15981,306,1706,7294,24426,651,22983,97603,114486,204227,32174
"Big Bazar",1844267,131,339,267924,4659307,1028671,1639004,11,13,7,0,34,1,11,27,26,23,23,25,34,4,56,69,15,14,54,36,3,1,5,2,0,1,5,0,2,1,2,0,1016093727,6779360521,1111597858,666171632,289092,362095,216434,6567,46272,31346,80668,76948,54288,36526,28257,36807,17058,5305,18667,2876,35700,32549,58062,14579,68173,15580,88671,50100
"Big Bazar",1770981,264,412,487992,4477323,4498912,831540,3,10,1,7,18,30,5,28,2,17,38,40,65,54,12,47,136,86,135,14,1,0,4,4,2,5,3,1,1,2,1,0,2761007431,603645262,8638980795,1022404917,306729,189732,339984,131239,37596,53674,211934,75949,67169,99987,23942,30916,14552,17579,12133,927,52115,32911,61299,27269,40107,92994,52794,31439
"Big Bazar",1008732,78,462,925172,2174448,2041191,1494497,16,20,26,4,10,14,36,6,44,81,21,58,60,24,11,46,48,99,31,95,6,5,2,2,3,2,4,2,2,2,0,1,3538751135,1533524751,4462081188,1784636383,261833,337736,535416,154432,125554,196741,131759,21700,58838,74261,88232,14827,10038,21825,19866,4865,19218,47628,25969,13814,76183,39062,43950,65351
"Big Bazar",859390,141,445,1237122,2664292,3923821,112118,6,24,4,1,17,42,4,39,76,49,66,39,53,54,3,13,82,22,120,4,5,2,5,3,0,2,4,0,2,0,0,1,1453380358,5542259438,4526048715,734607323,100317,306727,381697,5203,190546,176557,197928,83388,30573,53329,81831,37943,1336,3537,12057,808,21310,1048,40430,28140,5859,60758,213270,5831
"Big Bazar",708191,69,395,3360276,3895349,2315272,401981,0,15,16,2,24,0,3,33,46,56,9,15,53,3,64,23,142,121,2,42,6,0,1,2,3,3,3,1,1,0,0,1,2582031112,5736366104,7796705391,3766894972,442665,108075,401507,9107,129694,72160,201683,12130,40835,35290,1654,14874,8862,7423,7187,4709,46878,36436,5525,8596,170752,136967,106347,36332
"Big Bazar",1157371,184,95,3947685,4573181,1914190,1714673,5,11,19,0,32,15,1,6,6,37,79,43,8,49,59,70,46,87,138,31,5,5,5,3,0,1,2,1,2,2,0,1,691006764,6591217026,1804490110,3517247676,420634,381386,102579,52958,121959,7334,176131,46012,53518,39972,33559,31570,7741,19082,15720,3548,28316,38008,30982,18547,138264,183152,209706,31220
"Big Bazar",1355580,119,119,944424,3311196,4020301,811581,14,26,5,22,2,17,18,14,56,44,57,62,44,41,36,51,116,12,10,83,4,5,5,3,1,3,0,1,2,2,0,1,1990825738,6493336691,8210132833,3597083305,275833,363251,269020,109424,80717,188826,230741,75228,10062,99555,94984,34295,6703,23313,10844,5950,11408,3938,18690,15549,55321,76293,43759,82806
"Big Bazar",1368882,227,331,1214296,2114310,2158552,757073,16,22,21,2,36,23,0,1,76,58,71,21,42,27,30,63,145,41,124,76,0,3,2,2,3,0,2,0,2,0,1,0,2192638655,893494584,4568804288,2089166662,214442,320932,98728,110203,90716,15378,204108,77246,42920,16659,34777,17008,2025,12137,4241,658,45407,48023,44390,17274,10965,59167,5887,50418
"Big Bazar",1158393,73,432,1984434,4701260,3386598,319740,11,4,24,8,23,43,17,12,2,49,9,28,34,3,12,62,26,63,8,68,3,4,2,4,2,0,4,0,2,1,2,0,5035065604,7128539823,1445634988,1176660714,363988,36864,189869,50403,54345,184395,157645,48032,73952,82818,16575,39152,2992,20150,23790,2968,54479,27794,51078,9062,16807,172931,128644,5436
"Big Bazar",2261975,254,212,693047,2529620,4004663,238076,6,28,25,8,33,16,21,1,76,55,22,21,40,73,49,63,18,134,12,90,2,5,0,4,2,2,5,0,0,0,1,2,6422913067,3022215769,1332648934,1668880240,87515,96610,479131,126583,103613,93284,28442,80712,15554,51153,92317,12723,18280,17659,3234,3648,53040,5850,10999,20464,74944,179603,217019,3412
"Big Bazar",1340862,25,208,3437251,2557385,3569519,1191550,0,3,9,9,21,36,31,33,56,30,14,32,75,55,16,40,8,141,69,101,0,1,5,3,1,0,5,2,0,2,2,2,3978745132,4563335158,6290113346,3780920710,348413,287818,495376,125989,25087,9661,45065,70997,61553,21311,74973,15845,9982,7637,14991,3101,31959,24574,17046,7516,174880,2246,197650,23626
"Big Bazar",2201083,170,176,3616034,4069069,1756878,1025275,9,9,0,13,24,25,15,24,35,20,8,32,35,71,36,49,80,112,76,102,2,4,2,1,2,5,3,0,0,1,1,0,3116492586,5640662098,3970155943,536727548,57191,146186,115346,156998,57950,99214,63648,57917,85147,41397,100535,20753,10057,6672,15196,3147,32076,38570,17422,6024,14575,16005,62690,33013
"Big Bazar",2121431,92,395,3844135,99657,4826367,1369809,16,26,30,5,28,38,42,13,1,50,33,21,60,43,55,16,21,28,6,42,3,4,3,3,0,4,4,0,1,1,0,0,3713887245,3487802632,9219888517,3726903828,148734,460498,112560,90837,110891,183092,113843,23569,32234,68759,55899,14799,17898,8685,2883,2226,37525,39956,1010,341,17405,83835,84316,73205
"Big Bazar",1327418,152,373,2034814,4065105,1635564,837644,20,18,26,13,31,45,5,8,93,61,54,47,46,9,23,6,84,147,97,30,3,4,4,2,0,4,0,2,0,1,1,1,1087449566,3961578280,2237306515,1496913267,296649,287372,433400,151776,194931,105751,231487,32228,44444,94917,43097,36141,5010,20644,3335,2203,41906,28723,53939,21109,160557,50424,62014,23419
"Big Bazar",1807799,96,369,3070160,4341882,588908,1441684,6,27,15,9,1,45,22,23,72,3,23,23,24,17,21,43,102,156,7,33,0,5,5,3,2,2,0,0,1,1,1,0,3834733839,4894828234,691207407,3667441255,326886,341276,547266,119067,157644,30952,192053,80552,27392,87090,10084,28623,4230,16525,396,7238,5490,4666,56511,28203,140370,61725,129513,36759
"Big Bazar",892856,103,394,3585203,3788431,1593430,1121043,18,1,4,20,35,29,16,9,52,65,46,1,46,54,14,61,149,90,85,19,6,3,2,4,1,1,3,0,0,2,2,0,5348715885,4770253612,1605906311,1956866212,189040,361161,176199,107954,166966,93676,59993,84643,20457,62806,45454,36804,12622,3513,12464,3433,21740,1248,20758,1202,89411,87260,60405,8285
"Big Bazar",1118610,83,105,395869,567779,2915311,624953,20,9,21,20,38,49,3,15,59,43,17,6,12,14,2,73,120,95,131,92,3,4,4,2,0,1,3,0,0,0,2,1,1383194560,2825945465,5361841602,2865056192,408703,124547,371762,161145,79175,129683,229381,100413,96053,24205,111610,21510,3811,13582,4949,2222,9409,22281,34482,1258,129942,91364,164700,72951
"Big Bazar",1403651,24,303,3449372,4505512,2636753,2167437,10,27,9,2,2,51,14,8,48,9,7,38,3,60,7,64,29,19,112,100,2,2,2,3,0,0,1,0,1,1,1,0,6202885754,5909878438,1398036444,982999377,153332,103357,554807,74589,161137,170108,177825,79131,75734,74041,4922,1049,12294,6094,6155,1360,47750,7324,30063,23233,151625,181493,25183,33265
"Big Bazar",352884,234,235,2230656,2948363,3424559,1148471,9,23,23,15,37,54,37,28,92,63,77,54,57,40,22,0,108,84,96,68,1,1,4,2,3,4,0,1,2,0,2,1,6183633197,4498432555,5750224994,168312255,315338,99793,353724,207877,39482,90266,14839,62825,46524,26104,23577,20593,3083,8699,14495,4519,21721,23416,44050,1668,36447,64592,225314,6302
"Big Bazar",1590808,147,322,897338,1298021,2296268,196329,18,16,27,5,5,22,11,15,4,32,29,1,72,50,17,56,72,67,57,79,1,5,5,4,2,5,4,0,1,2,1,1,4100410410,4116946294,7770616122,2417231512,155151,371710,450793,120483,49470,153151,115672,85348,68109,62682,56227,41557,12707,7550,25181,8645,53700,18847,50194,28625,74681,65257,180740,64262
"Big Bazar",1939708,261,283,3258382,3911933,3006201,2264046,1,18,12,11,15,14,35,28,50,48,72,8,26,66,65,25,117,10,33,26,1,0,2,1,3,3,5,0,0,0,0,1,2222265613,611320704,824018535,723791330,304048,178792,427205,99320,45632,90666,131745,16626,17238,24907,102708,7114,16991,9334,21306,3958,13582,9482,7303,18344,2542,161485,151723,54423
"Big Bazar",1448219,188,399,4628652,4178196,3527701,1152939,12,14,24,21,17,9,26,39,59,14,31,28,51,26,37,38,130,105,124,89,2,4,4,1,1,3,3,0,0,2,1,2,6807642875,7314804217,2549112102,953599235,136233,357910,209406,30041,77877,127727,41184,56350,25339,28386,68184,29183,12414,5565,13101,4168,30793,29559,42813,16721,34867,9250,122130,56556
"Big Bazar",2227929,154,235,1689950,1612177,3670581,666466,20,9,11,20,2,55,4,4,24,48,6,7,23,1,0,24,154,19,45,76,4,1,1,4,0,5,3,1,0,0,1,0,5306192123,6281305231,6634647612,593864913,320093,201327,253981,29442,78104,145510,55396,37763,78187,56678,107550,42804,3089,3548,12850,209,36767,430,45557,11139,114071,48422,89108,79509
"Big Bazar",1276163,222,414,4334373,205612,546542,2043406,7,21,29,14,29,41,26,8,88,61,10,37,27,38,58,73,6,91,30,40,6,3,5,4,1,4,5,2,2,1,0,0,2695123501,1120944087,7297345836,3347712782,236003,404315,147436,173611,132502,102795,77371,23957,10584,26984,58385,31527,16890,14125,13050,8293,52916,10961,26173,12323,135387,18848,188892,15505
"Big Bazar",767009,276,154,1785288,2591786,4346026,254611,10,22,22,19,24,17,31,13,64,24,39,60,54,64,18,33,6,155,131,102,1,0,1,3,2,4,5,2,1,2,0,2,1607150506,2849600106,945476644,2201026763,20974,203342,180674,39531,8100,84214,225253,80738,82832,22093,99086,23129,17996,20011,6902,4261,37206,11320,834,29106,71307,100181,72555,8812
"Big Bazar",1228559,247,249,290746,2785275,4696111,1072223,18,9,27,0,34,17,20,18,84,72,62,37,37,8,41,59,91,85,17,47,3,4,3,1,3,3,5,2,0,2,2,2,6384357080,4519595754,8696641417,2582115944,209717,444348,36985,13362,168214,202752,63419,60718,59693,3114,35169,18234,15764,16887,2737,2399,25698,7830,14759,15950,161764,118166,26380,12865
"Big Bazar",568223,179,271,3280348,4674752,4853906,1889210,3,12,21,12,17,43,29,35,68,3,66,20,68,28,43,8,38,96,112,101,3,4,3,4,2,4,3,2,2,0,2,0,5224741092,7311088683,3122864216,1832271013,20109,35761,486454,153761,33405,53834,96166,26022,22067,8822,116565,12322,6878,12201,10240,6432,26800,2575,58762,2505,38196,70840,214094,64328
"Big Bazar",1264309,169,339,2551385,258003,4037599,2649381,20,4,11,19,14,19,22,7,9,61,20,58,34,27,53,34,132,29,62,91,1,2,1,1,2,1,0,1,1,1,1,1,3176363576,2867370196,1592395738,3125091207,159760,277109,302777,198461,146386,179131,68228,32923,661,83083,95964,42354,5947,12469,13283,6393,3395,19217,40301,23290,96004,61531,177725,28364
"Big Bazar",1128096,272,94,2288416,1200249,1711383,1596197,12,9,30,7,17,22,7,24,8,42,55,54,48,10,32,71,55,117,29,67,4,2,0,3,1,4,2,0,1,2,0,1,6209209053,4873019580,8856156841,2511114807,221109,223369,497379,109205,120680,119918,175417,76944,92364,20053,39299,1585,942,13772,7942,8150,35096,21270,12235,4486,96892,179521,192535,12969
"Big Bazar",2532949,157,355,2719441,1915725,1196084,1005106,7,25,26,6,3,43,12,38,62,25,13,57,1,11,2,22,41,70,32,72,4,2,3,4,0,4,4,1,2,2,0,2,2911279141,5672214185,4780966176,1225814034,428652,62619,217967,25149,11423,8475,123807,34269,54738,35079,119186,22466,12354,3327,4355,1193,4996,31507,33764,10488,148864,41462,90744,73184
"Big Bazar",1701548,36,219,2948868,207027,2650958,2705463,18,12,16,4,25,52,34,7,3,61,44,64,7,17,32,24,0,133,73,59,0,4,3,4,2,0,5,1,1,0,0,2,6130138891,2099225883,8718271155,1701924935,274121,340433,479098,205847,1793,164865,193186,37219,19658,49694,91083,32267,3854,13510,14895,330,16103,36616,28654,15565,91580,26433,35780,59702
"Big Bazar",1993762,262,333,3311641,261212,915857,2480596,7,24,28,10,31,0,7,17,84,47,14,11,9,32,58,49,127,94,128,79,0,0,1,3,3,0,0,1,0,0,0,2,5101640594,2496839779,7615847678,1567438016,367370,374533,2337,101455,105181,170124,180045,7751,48589,42304,86520,32188,7241,15471,24698,5667,28275,17855,41719,27399,36722,114771,94004,41888
"Big Bazar",598284,41,151,2216546,2674470,2563504,1764965,18,8,30,3,15,23,0,34,81,56,30,12,47,56,53,25,23,127,25,59,2,5,4,2,1,5,4,2,0,2,1,0,2426218633,865088387,3462614420,2584113552,196173,231889,231258,75525,5151,187191,178849,64677,70033,82673,30784,33730,18181,13498,2088,5553,16439,22859,61019,786,106278,2160,60042,74105
"Big Bazar",506790,179,348,1915913,4521019,4703539,2694663,0,19,10,7,17,0,26,13,18,12,55,64,32,19,48,44,141,77,43,67,2,4,1,3,2,3,5,2,0,2,0,1,1418641447,1442098900,627896871,1650524679,389101,372615,16645,46554,129350,45889,225329,73529,972,49236,114900,7075,3980,17804,3373,7379,38474,17206,37275,27006,10892,108790,7456,28144
"Big Bazar",2545933,200,409,1331985,2602227,4046516,1506212,6,18,27,3,13,48,28,32,73,38,51,27,12,5,21,23,41,26,48,15,0,1,0,1,2,4,0,0,1,1,2,1,2592012975,6394531114,6054983199,1130219797,291387,47168,556882,214117,126122,140173,82406,14809,55964,98504,42862,33631,10369,2623,229,5182,54074,19745,22097,10874,135262,115411,210914,65372
"Big Bazar",2520919,86,258,439477,3352980,1628145,257945,2,1,29,20,8,51,13,29,54,48,50,12,23,67,38,38,137,16,58,19,2,5,0,1,0,4,4,2,2,0,0,2,4260503976,4663845765,3196534253,3132004689,142023,367566,105959,136138,93345,11566,32193,18951,31828,12291,3783,763,6345,6801,17969,6084,27405,28065,11961,22516,149771,167248,92627,84669
"Big Bazar",718362,222,267,886070,1631093,1520756,816801,22,1,14,15,2,50,8,1,12,49,8,39,49,11,16,65,10,68,32,47,3,4,1,2,0,1,5,0,2,1,1,0,6154998495,7375806047,986193718,2373694984,91155,369259,561068,211907,42168,32804,66223,31637,11004,39499,34631,2926,8842,16337,25286,4899,26373,43666,17219,670,101022,51391,192061,58752
"Big Bazar",1496492,126,119,4302013,3167674,4016406,1460765,16,13,28,21,11,23,17,37,71,51,18,21,61,66,35,42,102,139,95,20,3,4,0,3,2,2,0,2,2,0,0,2,2204288045,503150313,3766542586,361454277,430996,372263,411865,78803,17385,78632,206412,25653,52234,66593,119141,22218,16729,3901,21009,2672,30512,6318,20847,20883,111086,27546,39873,10015
"Big Bazar",1793550,139,393,4991830,3066358,1544259,1039836,12,11,23,13,16,8,24,18,74,31,8,25,57,62,27,3,8,155,107,1,0,2,1,2,3,0,2,2,1,1,2,2,1193531998,6113987241,293177055,1454424655,61735,476225,281315,15987,66444,34430,15641,106624,74543,17704,108408,3737,8748,13438,6147,7726,34935,44417,15153,18233,84553,11933,127740,31527
"Big Bazar",1183115,191,453,1037022,3093172,2954659,2370051,9,19,0,19,13,21,24,25,9,70,73,13,7,30,50,61,34,96,124,55,2,2,1,1,2,5,0,2,0,2,1,2,2454411192,5189999706,789909600,2123104293,425241,315265,268890,151173,67473,34516,82655,96598,44063,35353,10410,7472,6987,10463,23936,7311,46398,17143,32652,24332,67149,181486,77082,22638
"Big Bazar",549546,253,221,1917561,3713243,4830543,1878366,18,9,25,19,15,7,26,17,14,22,12,63,5,13,36,1,0,136,129,45,3,3,3,3,2,2,3,1,0,0,1,0,1294484355,4219074376,4688391200,1777224263,268268,26072,133117,150145,17381,197007,252904,53127,5195,97102,26328,21313,4218,18865,13769,4364,41312,15940,59701,18879,28822,20194,94490,39664
"Big Bazar",1222875,224,260,4071497,3145228,4713022,1433083,21,4,20,2,30,2,10,23,80,69,43,43,51,41,55,47,10,89,28,73,3,1,4,1,2,1,1,2,0,1,1,0,6375299599,4306975876,5453155590,776161931,303884,350918,405365,214313,178068,204037,203870,38974,26664,36394,6690,31087,15372,10838,18036,3354,8657,19681,15163,27343,105485,42088,89178,23890
"Big Bazar",1933639,274,383,1287141,126969,2090677,2407016,17,6,5,10,23,21,15,27,60,7,34,23,47,31,27,31,107,68,13,54,0,4,0,2,1,3,1,1,2,0,0,1,6632589336,4500595443,1420591827,2095711940,221963,61566,74160,58663,67144,139708,123878,105101,26941,78586,92433,33839,7414,6006,9222,3103,43458,33437,30484,23510,136983,119611,182027,39804
"Big Bazar",2101364,149,41,3579329,2204699,2511554,2189954,4,24,8,13,18,55,32,32,65,30,67,44,26,13,32,16,42,5,38,79,3,0,3,1,0,5,5,2,1,1,1,0,2432080084,349568924,6046899116,1340641777,433955,34209,227504,17380,21530,209392,164517,100171,17653,89243,110042,35623,3619,4571,19569,3086,18340,42449,56558,5578,78804,133992,211758,42860
"Big Bazar",720229,93,393,2320416,2734008,519482,367618,17,8,4,12,33,23,11,0,23,25,5,4,49,68,34,73,136,149,80,7,1,3,1,4,2,4,3,0,0,0,0,1,6327356905,3678994955,571289698,725796198,86793,162559,288638,204004,26688,97393,187447,99938,48336,68403,42948,7876,15161,7465,18671,1661,26208,31733,19792,15729,117065,65402,200993,33304
"Big Bazar",2394118,189,289,5002406,3335488,3683427,2396249,22,3,3,14,0,9,31,9,15,25,17,34,39,48,46,60,75,115,17,3,3,2,4,3,3,0,5,1,2,0,1,1,2023211848,6662557377,2683198922,1771143516,142536,184400,87576,212781,187808,98856,3785,99869,6647,75558,11259,24472,1112,8277,11787,3368,18776,28284,49887,11083,93337,24936,166411,25711
"Big Bazar",1981440,266,310,313573,1400080,3723843,2304790,19,4,10,8,12,48,18,23,23,61,49,60,66,40,5,35,37,149,123,25,1,0,2,3,3,2,2,0,0,0,0,0,85645891,2139852618,3781294704,1167704976,65969,44538,194462,143246,199810,99620,142986,34601,30224,37616,17869,24611,14960,10914,3591,4596,23388,19092,22988,7969,51978,176265,112215,52387
"Big Bazar",383244,127,269,5034962,2964084,1994043,2319065,0,2,17,9,16,21,9,37,65,43,56,60,5,52,22,59,71,66,31,36,6,2,2,2,0,4,5,2,0,0,2,1,5170203841,6405625892,683147036,3197954196,441520,312326,544120,123177,7993,70284,97830,87398,31969,75193,109520,26484,7728,15014,18736,2072,27524,19417,34724,13641,149225,116071,104394,70173
"Big Bazar",907169,189,448,2227184,3383392,4510522,95156,19,7,23,12,1,15,34,26,18,24,51,39,4,40,65,26,17,112,124,17,1,4,5,4,3,5,5,2,0,1,2,0,2306335561,2734322399,5407913222,3656758699,10654,23424,46492,109110,74377,65112,172510,53159,61754,70994,114299,18254,14535,3029,8917,3081,39562,9202,34752,22575,131151,162609,10523,75749
"Big Bazar",588598,190,74,1766957,353510,911371,1327318,10,6,24,12,23,52,16,3,51,42,34,58,48,59,12,5,72,98,127,99,5,4,1,4,3,1,3,2,1,2,2,1,2703625620,4648568487,8997101971,2462977616,188397,329985,122201,70102,118362,139024,180124,91994,63377,34928,107665,21707,4155,13463,21041,2534,48125,6801,50905,2199,108240,169895,194314,24390
"Big Bazar",242784,31,237,2202674,465569,1928054,342065,17,2,17,2,10,41,35,5,26,71,62,10,63,58,61,6,79,4,98,10,5,3,1,2,2,4,1,2,0,1,0,1,6765447201,3800044996,7785072823,2715594119,217975,372628,193634,210253,14190,174171,154821,91996,75509,21970,86914,23599,17108,19566,21620,6383,51669,14970,4075,4886,109476,92170,173624,36384
"Big Bazar",2563796,173,382,3558876,1141449,1944428,1061365,17,22,22,10,5,54,24,23,25,38,38,13,40,70,40,40,155,65,137,15,1,5,1,4,3,1,2,1,1,0,1,2,126157100,2487943728,3021789921,2670370174,126281,194352,184749,7010,23553,142808,98954,42367,71738,68742,39274,25561,710,13538,22403,3470,43019,3674,49238,23699,145850,1270,57893,26254
"Big Bazar",202710,214,43,2051457,1340813,3038998,2129712,0,13,4,7,8,46,39,10,12,23,5,3,23,71,41,23,112,139,34,73,3,3,0,2,2,5,1,2,1,0,1,0,6836639834,5299859187,89338762,2612947218,199833,139277,427757,117680,167855,136230,49240,16767,32675,61941,101484,18704,6429,4755,26571,8157,26861,29616,42443,20828,160938,24986,158515,2185
"Big Bazar",2015674,59,282,996513,675404,2413649,157622,21,17,0,7,28,55,23,17,82,63,49,19,40,34,49,48,104,140,51,8,0,5,5,1,1,2,0,0,2,0,2,2,424711171,1564584734,1836212041,1402166474,76794,337657,286001,95295,153627,151936,170624,12194,25974,55176,73619,42741,7146,6510,3954,724,16389,27547,38878,10920,36594,8736,75331,56237
"Big Bazar",2516392,105,281,2446619,1199715,4515194,2253673,13,26,26,0,36,19,42,9,13,46,57,15,59,72,1,23,121,138,25,4,1,1,4,3,3,4,3,1,2,0,0,1,3671293386,5631639363,3730383356,912319030,399747,107891,113227,194456,14032,199981,23179,48358,76167,43965,35263,19866,4686,18099,7603,5794,36860,17274,14837,20788,90710,178855,184965,59226
"Big Bazar",1896833,191,451,3422318,938852,99999,627801,17,5,16,7,20,34,1,31,66,70,47,2,28,48,60,66,115,26,10,52,2,5,4,2,2,3,5,2,2,1,0,1,4400861540,6856798553,7255357280,203881195,81527,3903,178655,9583,151101,158045,177675,47905,17952,50232,61367,17887,15621,2158,18992,1341,44160,22071,35098,18122,133843,4365,36126,54161
"Big Bazar",915192,68,286,3771417,4258018,3074218,1356914,9,13,6,16,9,2,35,12,22,46,60,2,9,73,11,69,137,102,32,45,6,4,1,3,1,3,5,1,2,2,0,1,1992744801,3932272745,7712936394,1513056619,81624,127725,271068,142866,104881,68763,213428,22611,20737,38233,106841,11702,10255,21596,5127,7572,14128,46743,9510,27495,139393,11772,1018,76956
